stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
003830,대한화섬,00113544,대한화섬,stock_code,1998-10-20,2026-08-18
003850,보령,00123143,보령,stock_code,1998-10-20,2026-08-18
003900,해태유업,00164292,동원데어리푸드,stock_code,1998-10-20,2004-03-10
003905,해태유업(1우),,,unmatched,1998-10-20,2004-03-10
003920,남양유업,00107598,남양유업,stock_code,1998-10-20,2026-08-18
003925,남양유업우,,,unmatched,1998-10-20,2026-08-18
003930,부흥,00124513,부흥,stock_code,1998-10-20,2004-06-28
003940,삼양제넥스,00132105,삼양제넥스,stock_code,1998-10-20,2016-01-20
003945,삼양제넥우,,,unmatched,1998-10-20,2016-01-20
003960,사조대림,00109718,사조대림,stock_code,1998-10-20,2026-08-18
003965,사조대림우,,,unmatched,1998-10-20,2014-07-14
003980,한일합섬,,,unmatched,1998-10-20,2003-09-23
003985,한일합섬(1우),,,unmatched,1998-10-20,2003-09-23
003990,BHK,00136235,BHK,stock_code,1998-10-20,2009-04-29
004000,롯데정밀화학,00157681,롯데정밀화학,stock_code,1998-10-20,2026-08-18
004010,롯데미도파,00121729,롯데미도파,stock_code,1998-10-20,2013-01-21
004020,현대제철,00145880,현대제철,stock_code,1998-10-20,2026-08-18
004060,SG세계물산,00133511,SG세계물산,stock_code,1998-10-20,2026-08-18
004080,신흥,00173795,신흥,stock_code,1998-10-20,2026-08-18
004090,한국석유,00157991,한국석유공업,stock_code,1998-10-20,2026-08-18
004100,태양금속,00153755,태양금속공업,stock_code,1998-10-20,2026-08-18
004105,태양금속우,,,unmatched,1998-10-20,2026-08-18
004110,대선주조,00110316,대선주조,normalized_name_unique,1998-10-20,2002-04-26
004130,대덕GDS,00109170,대덕GDS,stock_code,1998-10-20,2018-12-18
004135,대덕GDS우,,,unmatched,1998-10-20,2018-12-18
004140,동방,00115287,동방,stock_code,1998-10-20,2026-08-18
004150,한솔홀딩스,00171636,한솔홀딩스,stock_code,1998-10-20,2026-08-18
004155,한솔제지(1우),,,unmatched,1998-10-20,2003-06-04
004170,신세계,00136378,신세계,stock_code,1998-10-20,2026-08-18
004190,스마텔,00147949,스마텔,stock_code,1998-10-20,2004-03-30
004200,고려개발,00102681,고려개발,stock_code,1998-10-20,2020-07-20
004230,세신,00133928,세신,stock_code,1998-10-20,2009-04-29
004250,NPC,00108038,엔피씨,stock_code,1998-10-20,2026-08-18
004255,NPC우,,,unmatched,1998-10-20,2026-08-18
004270,남성,00172185,남성,stock_code,1998-10-20,2026-08-18
004290,아이케이,,,unmatched,1998-10-20,2002-01-17
004295,아이케이(1우),,,unmatched,1998-10-20,2002-01-17
004310,현대약품,00164706,현대약품,stock_code,1998-10-20,2026-08-18
004320,울트라건설,00144766,호반산업,stock_code,1998-10-20,2015-04-10
004360,세방,00133812,세방,stock_code,1998-10-20,2026-08-18
004365,세방우,,,unmatched,1998-10-20,2026-08-18
004370,농심,00108241,농심,stock_code,1998-10-20,2026-08-18
004380,삼익THK,00127802,삼익THK,stock_code,1998-10-20,2026-08-18
004390,오리온전기,00141644,오리온전기,normalized_name_unique,1998-10-20,2002-04-12
004410,서울식품,00130879,서울식품공업,stock_code,1998-10-20,2026-08-18
004415,서울식품우,,,unmatched,1998-10-20,2026-08-18
004420,동국무역,00114701,동국무역,normalized_name_unique,1998-10-20,2002-04-26
004430,송원산업,00134963,송원산업,stock_code,1998-10-20,2026-08-18
004450,삼화왕관,00129235,삼화왕관,stock_code,1998-10-20,2026-08-18
004460,고합,00103149,고합,normalized_name_unique,1998-10-20,2002-04-11
004465,고합(1우),,,unmatched,1998-10-20,2002-04-11
004490,세방전지,00133858,세방전지,stock_code,1998-10-20,2026-08-18
004510,디와이홀딩스,00117382,디와이홀딩스,stock_code,1998-10-20,2004-04-27
004530,SY,00151252,에스와이,stock_code,1998-10-20,2008-04-21
004540,깨끗한나라,00113492,깨끗한나라,stock_code,1998-10-20,2026-08-18
004545,깨끗한나라우,,,unmatched,1998-10-20,2026-08-18
004550,대우송도개발,00161028,대우송도개발,stock_code,1998-10-20,2012-06-21
004555,대우송도개발1우,,,unmatched,1998-10-20,2012-06-21
004560,현대비앤지스틸,00125743,현대비앤지스틸,stock_code,1998-10-20,2026-08-18
004565,현대비앤지스틸우,,,unmatched,1998-10-20,2023-07-14
004590,한국가구,00156442,한국가구,stock_code,1998-10-20,2026-08-18
004620,캠브리지코오롱,00128759,캠브리지코오롱,stock_code,1998-10-20,2011-05-16
004660,신동방CP,00115427,신동방CP,stock_code,1998-10-20,2005-03-29
004690,삼천리,00128555,삼천리,stock_code,1998-10-20,2026-08-18
004700,조광피혁,00148939,조광피혁,stock_code,1998-10-20,2026-08-18
004710,한솔테크닉스,00157399,한솔테크닉스,stock_code,1998-10-20,2026-08-18
004720,팜젠사이언스,00135050,팜젠사이언스,stock_code,1998-10-20,2026-08-18
004740,보루네오,00123152,보루네오가구,stock_code,1998-10-20,2017-07-04
004770,써니전자,00138057,써니전자,stock_code,1998-10-20,2026-08-18
004780,대륙제관,00109587,대륙제관,stock_code,1998-10-20,2026-08-18
