,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
2021-03-15,603605.7652244646,106876.85351511085,110343.34884113923
2021-03-16,606558.7913950005,107106.36276309697,110170.14468126645
2021-03-17,607383.7411964571,107199.57693282227,110487.36662717967
2021-03-18,597303.9363570054,105746.31259733762,108856.51350777569
2021-03-19,599452.3366681735,106238.16429571362,108790.90525441215
2021-03-22,606600.7907497208,106805.87643311406,109555.17420956204
2021-03-23,602213.1400556769,106130.60144281667,108719.17465007266
2021-03-24,599504.4337119358,105298.4571419438,108124.77039062684
2021-03-25,601099.2064881969,105465.48529464107,108691.37293211519
2021-03-26,610044.4851163441,105921.45347470474,110499.0411767126
2021-03-29,605572.2328965171,105221.83311843687,110403.12660726506
2021-03-30,602757.7472350849,104806.74473610122,110054.49197807371
2021-03-31,609842.9545349285,105610.15899288887,110453.1642695655
2021-04-01,623485.4660591574,106986.52034170792,111759.29522373423
2021-04-05,627652.5001684511,107753.27013321768,113372.90123246195
2021-04-06,625844.7139366725,108038.7471761325,113262.52922667422
2021-04-07,626011.9385888539,107896.33926388927,113429.61782309979
2021-04-08,632352.256953379,108664.78489975202,113908.36259182409
2021-04-09,631099.0195080488,108667.49699391754,114787.72767280522
2021-04-12,631634.1973066909,108357.7417141259,114765.22022731036
2021-04-13,635586.1697416968,109106.16783691356,115143.31273148597
2021-04-14,632138.4971919135,108429.43877303114,114672.63833450277
2021-04-15,639608.3932426786,109405.4158136776,115944.83843220925
2021-04-16,640791.9193687653,109739.07689595436,116363.26243250382
2021-04-19,634770.3136572468,109272.19597136477,115745.77378761528
2021-04-20,632000.6194275181,108891.11393718689,114958.4340220803
2021-04-21,640712.2398173397,109787.73506156323,116028.24358608168
2021-04-22,634355.2456913725,109165.43440277717,114959.5471768032
2021-04-23,642032.0061124683,109740.90564395151,116215.90518229463
2021-04-26,644075.9862922255,110014.89504693169,116423.03341110089
2021-04-27,644127.1513907611,110029.78585179186,116398.01457995069
2021-04-28,643136.851952272,109697.39795038282,116299.5954123766
2021-04-29,642998.3523553162,109645.43106652334,117086.10709939821
2021-04-30,637633.6428874676,109321.18040240995,116243.70690025212
2021-05-03,637033.934088055,109091.49057169679,116563.15515561117
2021-05-04,632950.0124634574,108703.57367883515,115784.70705280182
2021-05-05,633845.8171290572,108271.60405699647,115866.15739838037
2021-05-06,638979.1004492659,108958.00303992978,116812.25746250554
2021-05-07,644621.8095277254,109753.96410475617,117673.55414182585
2021-05-10,634141.4731501989,108627.64523464112,116445.55443165335
2021-05-11,633218.1536746941,108396.25074067958,115435.51584624902
2021-05-12,622422.5561397402,107206.49790395533,112959.49321594927
2021-05-13,625026.7207433853,107375.47463383042,114334.56510012144
2021-05-14,635910.6266555048,108684.16019634125,116040.20321182415
2021-05-17,634433.6356623697,108770.98319137242,115746.61544118628
2021-05-18,634217.3040278314,108732.06648940512,114760.76760841877
2021-05-19,637455.0702538891,109080.45201245439,114422.97945024694
2021-05-20,642911.8595515828,109713.76300331006,115630.6844493128
2021-05-21,642055.8921776027,109453.61278085502,115540.0437897415
2021-05-24,650985.6756067189,110171.1162788611,116685.19492340302
2021-05-25,653815.1895554283,110271.68736206193,116437.20577123154
2021-05-26,655993.4690076907,110759.0209971192,116655.73704841877
2021-05-27,653425.0539307352,110614.87362198344,116791.67767518936
2021-05-28,659604.5349667558,110798.90898345094,116881.47668118971
2021-06-01,660669.2034109676,110747.26026743735,116823.93201203848
2021-06-02,663492.1711457443,110871.4314633121,116992.96862922916
2021-06-03,658057.8228949736,109785.96432497096,116568.43585301618
2021-06-04,668257.40248026,110866.74679288387,117598.2125721657
2021-06-07,667687.1262430453,111058.73261756693,117504.51752463517
2021-06-08,665853.4139637108,111284.76502323648,117525.08373689375
2021-06-09,666764.3007456353,111264.19966830587,117310.73357744621
2021-06-10,670164.6269604065,111534.26620663432,117856.49161799524
2021-06-11,670779.5424777691,111574.55645316643,118086.12729229635
2021-06-14,673855.4506102784,111673.23522698588,118300.47745174388
2021-06-15,670288.1533988817,111320.55880187053,118062.49311702097
2021-06-16,668427.8200699047,111135.2725863125,117426.12156701583
2021-06-17,666184.0116688433,110181.66431533778,117374.95717493491
2021-06-18,659274.0197696374,109643.05262029581,115834.47321395032
2021-06-21,659932.6213179245,110053.44928812337,117456.42109557107
2021-06-22,663133.7033603068,110433.60064746463,118058.3255743389
2021-06-23,665747.2024200417,110772.2102944554,117930.43495672298
2021-06-24,668321.5751838645,110992.91873300722,118615.75816442085
2021-06-25,666244.8808702105,110991.26930851338,119010.81949059201
2021-06-28,673897.1771723948,111362.04755288397,119286.32528451143
2021-06-29,671878.9191163353,111042.56691139683,119319.4076998739
2021-06-30,670766.3896287221,111088.02515850903,119477.88292225458
2021-07-01,671345.3537622592,111456.53419579924,120101.75184421343
2021-07-02,676266.9626852379,111931.72586274057,121002.52479102416
2021-07-06,680513.54658854,112409.519321147,120757.8751030214
2021-07-07,678268.8085891518,112327.73529257679,121163.49782400257
2021-07-08,673199.0751438945,112020.63607697614,120126.21409800221
2021-07-09,677647.9907870856,112475.66464834355,121480.99127106772
2021-07-12,682639.0792745766,112355.68072039615,121900.24334987566
2021-07-13,684205.5521069448,112524.16863693565,121471.5430309806
