Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR,SPY_TR_USD
2010-10-27,1.1014216573544344,1.0986703055036517,KODEX200_TR,1.1694336121814322,1.0701644314573417
2010-10-28,1.0992027184427888,1.096456909502517,KODEX200_TR,1.1670776554691877,1.070345200459977
2010-10-29,1.0894398658195128,1.0867184444899753,KODEX200_TR,1.1567119540757216,1.0711585698584272
2010-11-01,1.1038625699219051,1.1011051206703086,KODEX200_TR,1.1720252492549694,1.0715201078636976
2010-11-02,1.1047495529490836,1.1019898880134418,KODEX200_TR,1.172967002813646,1.0800181643691358
2010-11-03,1.1131815891830459,1.1104008610166756,KODEX200_TR,1.181919710911662,1.0843572582262424
2010-11-04,1.1187281957903104,1.1159336121978618,KODEX200_TR,1.1878088162844966,1.1052395403401427
2010-11-05,1.1187281957903104,1.1159336121978618,KODEX200_TR,1.1878088162844966,1.109398594101883
2010-11-08,1.122056547183021,1.1192536493671295,KODEX200_TR,1.1913426908599574,1.107319112777717
2010-11-09,1.1244973458009766,1.121688350868917,KODEX200_TR,1.1939342069476828,1.0993636366204103
2010-11-10,1.1371446025053127,1.1343040147196821,KODEX200_TR,1.2073624221940245,1.1037936616592863
2010-11-11,1.1271601180747572,1.1243444715362265,KODEX200_TR,1.196761403396701,1.099634699010955
2010-11-12,1.1076345267777203,1.1048676551760124,KODEX200_TR,1.1760301215955802,1.086616961872592
2010-11-15,1.1094090625796542,1.1066377581866258,KODEX200_TR,1.1779142336419923,1.0850804253501922
2010-11-16,1.1027529295418095,1.0999982521724376,KODEX200_TR,1.1708470894201295,1.0681753346344935
2010-11-17,1.1003119030248234,1.0975633233409114,KODEX200_TR,1.1682553313607806,1.0687178238692165
2010-11-18,1.1182844763776905,1.1154910011965566,KODEX200_TR,1.1873376975335348,1.08444764272756
2010-11-19,1.1264941971072815,1.1236802140396605,KODEX200_TR,1.1960543623128228,1.0874309690649022
2010-11-22,1.1315979958980484,1.128771263538496,KODEX200_TR,1.2014733168211897,1.0865271240517258
2010-11-23,1.120503415289336,1.1177043971976917,KODEX200_TR,1.1896936542457792,1.0707970318531566
2010-11-24,1.1233878193703963,1.1205815960359151,KODEX200_TR,1.1927561680986547,1.086616961872592
2010-11-25,1.1256069861810725,1.1227952193667885,KODEX200_TR,1.1951123667825228,1.086616961872592
2010-11-26,1.1122935806102299,1.1095150706897186,KODEX200_TR,1.1809768684806796,1.0739614005333598
2010-11-29,1.1082999919471352,1.105531458013101,KODEX200_TR,1.1767366787362112,1.077215607034429
2010-11-30,1.1240535124388416,1.1212456262027424,KODEX200_TR,1.1934629672109092,1.0711585698584272
2010-12-01,1.126272451350487,1.1234590222038772,KODEX200_TR,1.1958189239231536,1.0939396554072665
2010-12-02,1.1400291205358881,1.1371813272227749,KODEX200_TR,1.2104250570327117,1.107951895400349
2010-12-03,1.145132577478109,1.1422720357270024,KODEX200_TR,1.2158436485836432,1.1109354039645083
2010-12-06,1.1462416481106281,1.143378335900527,KODEX200_TR,1.2170212034894243,1.1097599498803363
2010-12-07,1.1504575522780938,1.1475837087372744,KODEX200_TR,1.2214974365526206,1.1103930058431941
2010-12-08,1.1453544371844187,1.142493341227655,KODEX200_TR,1.2160792079591243,1.1144607639695303
2010-12-09,1.1684301256309606,1.1655113865929196,KODEX200_TR,1.2405798027253747,1.1187997667132286
2010-12-10,1.1684301256309606,1.1655113865929196,KODEX200_TR,1.2405798027253747,1.1253089086226358
2010-12-13,1.1755300920309406,1.1725936172732825,KODEX200_TR,1.2481181866840112,1.1260317112929512
