,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
2009-03-31,-0.12063031299840954,-0.10667304627116403,-0.10602293425484421,-0.08842547803351641,-0.10598546467040715,-0.137256727522581
2009-04-30,-0.12063031299840943,-0.10667304627116392,-0.10602293425484444,-0.08842547803351619,-0.10598546467040704,-0.1372567275225809
2009-05-31,-0.12063031299840954,-0.10667304627116392,-0.10602293425484399,-0.08842547803351641,-0.10598546467040715,-0.1372567275225809
2009-06-30,-0.12063031299840943,-0.10667304627116392,-0.10602293425484421,-0.08842547803351652,-0.10598546467040704,-0.1372567275225809
2009-07-31,-0.12063031299840932,-0.10667304627116403,-0.1060229342548441,-0.08842547803351619,-0.10598546467040704,-0.1372567275225809
2009-08-31,-0.12063031299840932,-0.10667304627116381,-0.1060229342548441,-0.08269603888675459,-0.10598546467040715,-0.13725672752258078
2009-09-30,-0.12063031299840943,-0.10667304627116381,-0.1060229342548441,-0.0826960388867547,-0.10598546467040704,-0.1372567275225809
2009-10-31,-0.1206303129984092,-0.10667304627116392,-0.10602293425484421,-0.08269603888675459,-0.10598546467040715,-0.1372567275225809
2009-11-30,-0.1206303129984092,-0.10667304627116392,-0.1060229342548441,-0.08269603888675447,-0.10598546467040704,-0.1372567275225809
2009-12-31,-0.12063031299840932,-0.10500935644136988,-0.1060229342548441,-0.0826960388867547,-0.10598546467040704,-0.1372567275225809
2010-01-31,-0.12063031299840954,-0.07473190733394997,-0.061655847035974265,-0.08269603888675459,-0.10598546467040726,-0.137256727522581
2010-02-28,-0.12063031299840932,-0.07473190733395008,-0.061592871959918916,-0.08269603888675459,-0.10598546467040726,-0.1372567275225809
2010-03-31,-0.12063031299840943,-0.07473190733394997,-0.06159287195991903,-0.0826960388867547,-0.10598546467040715,-0.1372567275225809
2010-04-30,-0.12063031299840943,-0.07473190733394997,-0.06159287195991914,-0.08269603888675447,-0.10598546467040715,-0.13725672752258078
2010-05-31,-0.1206303129984092,-0.07473190733394997,-0.06159287195991914,-0.08269603888675459,-0.10598546467040715,-0.1372567275225809
2010-06-30,-0.12063031299840943,-0.07473190733394997,-0.061592871959918805,-0.0826960388867547,-0.10598546467040726,-0.137256727522581
2010-07-31,-0.12063031299840954,-0.07473190733394997,-0.06159287195991925,-0.08269603888675447,-0.10598546467040715,-0.137256727522581
2010-08-31,-0.12063031299840932,-0.07473190733394997,-0.06159287195991903,-0.08269603888675459,-0.10598546467040715,-0.1372567275225809
2010-09-30,-0.12063031299840932,-0.07473190733395008,-0.06159287195991903,-0.08269603888675447,-0.10598546467040726,-0.137256727522581
2010-10-31,-0.12063031299840943,-0.07473190733394997,-0.06159287195991925,-0.08269603888675447,-0.10598546467040726,-0.1372567275225809
2010-11-30,-0.12063031299840943,-0.07473190733394985,-0.061592871959918916,-0.08269603888675459,-0.10598546467040704,-0.137256727522581
2010-12-31,-0.12063031299840954,-0.07473190733395008,-0.06159287195991914,-0.08269603888675447,-0.10598546467040726,-0.1372567275225809
2011-01-31,-0.12063031299840943,-0.07473190733394997,-0.061592871959918805,-0.08269603888675436,-0.10598546467040704,-0.13725672752258078
2011-02-28,-0.12063031299840943,-0.07473190733395008,-0.06159287195991914,-0.08269603888675447,-0.10598546467040715,-0.1372567275225809
2011-03-31,-0.12063031299840943,-0.07473190733394985,-0.061592871959918916,-0.0826960388867547,-0.10598546467040726,-0.1372567275225809
2011-04-30,-0.12063031299840954,-0.07473190733395008,-0.06159287195991903,-0.08269603888675459,-0.10598546467040715,-0.1372567275225809
2011-05-31,-0.12063031299840943,-0.07473190733394985,-0.061592871959918916,-0.08269603888675447,-0.10598546467040726,-0.1372567275225809
2011-06-30,-0.12063031299840954,-0.07473190733394997,-0.06159287195991903,-0.08269603888675447,-0.10598546467040726,-0.1372567275225809
2011-07-31,-0.12063031299840943,-0.07473190733394985,-0.06159287195991903,-0.08269603888675459,-0.10598546467040726,-0.13725672752258078
2011-08-31,-0.12063031299840954,-0.07473190733395008,-0.061592871959918916,-0.08269603888675447,-0.10598546467040715,-0.1372567275225809
2011-09-30,-0.12063031299840932,-0.07473190733394974,-0.06159287195991903,-0.08269603888675436,-0.10598546467040693,-0.1372567275225809
2011-10-31,-0.12063031299840954,-0.07473190733395008,-0.06159287195991903,-0.08269603888675459,-0.10598546467040704,-0.1372567275225809
2011-11-30,-0.12063031299840943,-0.07473190733395019,-0.06159287195991903,-0.08269603888675447,-0.10598546467040726,-0.1372567275225809
2011-12-31,-0.12063031299840943,-0.07473190733394997,-0.061592871959918805,-0.08269603888675459,-0.10598546467040715,-0.137256727522581
2012-01-31,-0.12063031299840943,-0.07473190733394985,-0.06159287195991914,-0.08269603888675436,-0.10598546467040726,-0.13725672752258078
2012-02-29,-0.12063031299840954,-0.07473190733394997,-0.06159287195991903,-0.08269603888675447,-0.10598546467040704,-0.13725672752258078
2012-03-31,-0.12063031299840943,-0.07473190733394997,-0.06159287195991903,-0.08269603888675447,-0.10598546467040715,-0.1372567275225809
2012-04-30,-0.09301415768084798,-0.04556468254366697,-0.050245416075505256,-0.05950017826912135,-0.06681997054741906,-0.137256727522581
2012-05-31,-0.0768205859192943,-0.042981879044824645,-0.050245416075505256,-0.04974989186910528,-0.06565474653356251,-0.1372567275225809
2012-06-30,-0.0768205859192943,-0.042981879044824534,-0.05024541607550548,-0.04974989186910539,-0.06565474653356262,-0.137256727522581
2012-07-31,-0.07682058591929442,-0.042981879044824534,-0.05024541607550548,-0.04974989186910528,-0.06565474653356262,-0.1372567275225809
2012-08-31,-0.0768205859192943,-0.042981879044824534,-0.05024541607550537,-0.04974989186910539,-0.06565474653356251,-0.137256727522581
2012-09-30,-0.0768205859192943,-0.042981879044824645,-0.05024541607550537,-0.04974989186910528,-0.06565474653356262,-0.137256727522581
2012-10-31,-0.0768205859192943,-0.042981879044824534,-0.05024541607550537,-0.04974989186910528,-0.06565474653356251,-0.13725672752258078
2012-11-30,-0.0768205859192943,-0.042981879044824534,-0.05024541607550537,-0.04974989186910539,-0.06565474653356262,-0.13725672752258078
2012-12-31,-0.0768205859192943,-0.042981879044824534,-0.03800853020947892,-0.04974989186910528,-0.05025087506236159,-0.1372567275225809
