Date,WealthMultiple,Drawdown
1994-05-31,11.9342557038593,-0.051441867655008244
1994-06-30,11.84948420151315,-0.03974861251880113
1994-07-31,12.023101465408809,-0.04135058318138063
1994-08-31,12.144030658041295,-0.03447443733996858
1994-09-30,12.057671646281005,-0.023961816703288563
1994-10-31,12.061990543557771,-0.032240132439072866
1994-11-30,11.959422498086354,-0.03713262911745052
1994-12-31,12.037688866804647,-0.035919884969797145
1995-01-31,12.174423824703702,-0.02780472597192918
1995-02-28,12.417949285250351,-0.013549194770001716
1995-03-31,12.679279409724188,-0.004019791859030453
1995-04-30,12.831838196431036,-0.0030102771229230108
1995-05-31,13.21581440879251,-0.00636751150402004
1995-06-30,13.373454195936594,-0.01072574281135541
1995-07-31,13.401569067431847,-0.016659795815693212
1995-08-31,13.50770231233442,-0.017293890840414883
1995-09-30,13.75996873509956,-0.008418361405375552
1995-10-31,13.8567236415844,-0.007819335235191627
1995-11-30,14.191315338302838,-0.003771292470103438
1995-12-31,14.367263393475834,-0.01204764847575901
1996-01-31,14.679438905436989,-0.01247675783338209
1996-02-29,14.47914583557302,-0.023297355986712898
1996-03-31,14.438808850583403,-0.03333746421212802
1996-04-30,14.387099002701742,-0.04086827211610833
1996-05-31,14.463873579310366,-0.03785282561638026
1996-06-30,14.500673390611281,-0.030419339485191932
1996-07-31,14.378910966985934,-0.04119620978760086
1996-08-31,14.42289351452419,-0.027091902386355615
1996-09-30,14.685176959794235,-0.028591752302341344
1996-10-31,14.971803394614122,-0.006585319274851398
1996-11-30,15.34903239470356,-0.0027930259289343784
1996-12-31,15.149293729186194,-0.02200225168716774
1997-01-31,15.129711217188094,-0.0231049796969931
1997-02-28,15.316570140301671,-0.016974545105035155
1997-03-31,14.947091664029978,-0.03143006079047217
1997-04-30,15.211611101141962,-0.03903404894374807
1997-05-31,15.589063182150566,-0.014334903242998576
1997-06-30,15.746945270759982,-0.010522486865292335
1997-07-31,16.286999322626666,-0.010955226939207807
1997-08-31,15.906478622528413,-0.025698361059703023
1997-09-30,16.338431623123828,-0.02372851885320504
