,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1990-07-31,12.189192882989365,12.178157018272854,14.869232445245032
1990-08-31,11.557500807939437,11.547036865281232,13.52528404890703
1990-09-30,11.291768493660955,11.281545140014618,12.867040355051063
1990-10-31,11.389340917556389,11.37902922368273,12.812122993183314
1990-11-30,11.929392502231297,11.91859185586623,13.64045851019532
1990-12-31,12.148433345433208,12.137434383631167,14.020302626568025
1991-01-31,12.536736408659998,12.524975419906271,14.630876244031464
1991-02-28,13.11006132718893,13.09776248969218,15.677354239100744
1991-03-31,13.327004367505602,13.314502010960968,16.0568177769702
1991-04-30,13.383928800648192,13.37137304203813,16.09495476916764
1991-05-31,13.741569743292455,13.728678473831152,16.789429071143346
1991-06-30,13.359943578231878,13.347410320687636,16.02020659034176
1991-07-31,13.917271603681616,13.904215504432342,16.76692838541155
1991-08-31,14.238363017188876,14.225005695007248,17.16393461381345
1991-09-30,14.209938741137176,14.196608084395422,16.876763109147053
1991-10-31,14.45429888996362,14.440738993580183,17.103678678243096
1991-11-30,14.166321019235731,14.153031281240303,16.414542949969995
1991-12-31,15.432708766405788,15.418231002151623,18.2916457523217
1992-01-31,15.065728161742287,15.0513507687916,17.9510826913511
1992-02-29,15.220083274258009,15.205558578496415,18.183336834149745
1992-03-31,14.955072665390285,14.940800872217846,17.82980617164789
1992-04-30,15.259854601934645,15.245291951950042,18.353427493461055
1992-05-31,15.482235691928274,15.467460821181334,18.443049657884995
1992-06-30,15.493839190323794,15.479053246228506,18.16884459089967
1992-07-31,16.13661969736283,16.121220340637795,18.91099013312354
1992-08-31,16.044627062947647,16.029315495822917,18.523899895120344
1992-09-30,16.31149104122425,16.295924802819197,18.741661794674368
1992-10-31,16.172590184280672,16.157156500517516,18.806495146940826
1992-11-30,16.432162143704335,16.41648074751603,19.446815571761096
1992-12-31,16.713248271155962,16.697298631331243,19.685552351477913
1993-01-31,17.047745862362085,17.031413115794926,19.849922694727734
1993-02-28,17.416532588426165,17.39984652241239,20.12069673592744
1993-03-31,17.664803664280168,17.647879739924612,20.545159317565574
1993-04-30,17.49899444707208,17.48222937773144,20.048617262030493
