,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
2019-08-14,281272.0384698857,366483.2523861301,80885.58932310774,78973.5627450189
2019-08-15,281688.76753732737,367150.8177509278,80895.52393347843,79168.17477072123
2019-08-16,285110.83308948943,371261.4591315917,81448.26218576044,80310.26472889478
2019-08-19,287280.03560912126,374012.2914305204,81598.92747397014,81282.48999136427
2019-08-20,286302.1013622593,373341.8468329994,81499.65271849133,80639.16122434096
2019-08-21,287290.79160546296,375378.7626871053,81788.16390045664,81304.17614587458
2019-08-22,286942.7400668965,374565.436726523,81644.7682617242,81263.0301462998
2019-08-23,282218.0893156473,369290.86093038326,80641.23473878641,79154.55220042323
2019-08-26,284149.9713446168,371659.7880425442,81084.81948029478,80023.905676427
2019-08-27,285112.71871178574,373021.8998161167,81460.64789371283,79767.57465136253
2019-08-28,285338.3151641004,373964.640502303,81661.6301574517,80289.6917291074
2019-08-29,287909.43532499997,377632.5080106327,82216.9411011094,81308.35047608546
2019-08-30,287250.2444495878,377674.1228356005,81974.30084696256,81360.61444783169
2019-09-03,286042.32199155487,375588.0196184858,81755.06030932083,80799.29939127715
2019-09-04,289345.1773890502,380546.9187911444,82338.30541189882,81675.33179561837
2019-09-05,292154.5367267711,385874.1888935625,82657.55313757081,82737.91264144969
2019-09-06,290660.59569833474,384850.18634975154,82508.51420311106,82813.25421110983
2019-09-09,291304.76014938985,384885.674564477,82200.67532723225,82805.46891557828
2019-09-10,291604.62706157553,385014.58849262353,82003.51875786131,82832.15747881285
2019-09-11,293331.0764215056,386018.7838930818,82245.94045305987,83431.00756962148
2019-09-12,293151.4578514377,388531.8303359586,82766.98703063064,83671.21821379018
2019-09-13,291233.0697308396,388285.912942677,82487.99055491011,83610.60558162216
2019-09-16,290265.5746689324,386468.02749245794,82292.25195728317,83348.43728179124
2019-09-17,291018.820324354,387881.4054691106,82516.02108722355,83563.62230728095
2019-09-18,291072.1457725175,388090.30137275386,82503.50329548129,83592.25889128062
2019-09-19,290888.5193734097,387469.8623252475,82481.26062580547,83593.92862336498
2019-09-20,289704.1928612564,384523.68626584375,82221.15501252975,83184.68814953437
2019-09-23,291156.54858459317,387487.4235668112,82541.80513077904,83176.6245653221
2019-09-24,289129.45580350066,385932.9689565633,82005.72294016194,82476.57920766089
2019-09-25,291694.9895689034,389829.81879821024,82504.54090898763,82984.51713774631
2019-09-26,289658.9214222465,389260.3998723725,81928.1327663874,82782.95468255461
2019-09-27,287070.39761989185,384385.2038967773,81258.84222723651,82342.85131527853
2019-09-30,288735.68119804823,386342.0633399249,81442.373418967,82758.48564123704
2019-10-01,287060.6526971961,384983.7260113813,80852.91937133075,81744.00122446987
2019-10-02,286529.303165024,383573.5628060668,80643.37601122347,80280.521777701
2019-10-03,290973.22280254005,389272.7518226014,81432.010054377,80920.5110805556
2019-10-04,291934.5820684389,389358.4068141951,81606.77423164547,82070.94969915095
