Date,NAV_Gross,NAV_Net,NAV_SPY
2024-09-30,52965.553883367436,52903.37309694913,66399.551269488
2024-10-31,51279.70348989646,51219.50186720937,65807.02515548974
2024-11-30,51606.40411534739,51545.81895089921,69731.33026520567
2024-12-31,49750.856924158536,49692.450145002775,68053.57553968143
2025-01-31,50924.84487325302,50862.66230367,69881.2531114907
2025-02-28,52407.281980561114,52343.28925821657,68994.11469209439
2025-03-31,52258.61680831703,52194.80561588074,65149.81697111375
2025-04-30,51960.25642513396,51896.80955025884,64584.96437413096
2025-05-31,52354.1915591073,52290.263663643105,68643.80213507383
2025-06-30,54161.69373366382,54095.558759709354,72171.14834012475
2025-07-31,53980.925818940785,53915.01157444486,73833.35428310084
2025-08-31,54878.8423705951,54811.83171120401,75348.37661825657
2025-09-30,57293.60679489271,57223.64755004761,78032.31850855635
2025-10-31,58422.698395719235,58351.360456109156,79892.3983879938
2025-11-30,58617.86503990415,58546.28878904419,80048.19617993331
2025-12-31,58561.963425362956,58490.45543403415,80112.0348532048
2026-01-31,60548.48353948175,60470.81088580859,81292.70429965782
2026-02-28,63006.6419434249,62925.81592115816,80590.17613573602
2026-03-31,59965.827021279525,59888.90180957854,76610.6681624346
2026-04-30,62302.64047899876,62222.71756212352,84658.82469549582
2026-05-31,63374.148909332245,63292.85144270196,89114.05909636624
2026-06-30,62558.608479848874,62478.3572027453,88196.84672203669
2026-07-31,61376.41696520977,61297.682224057615,88227.5550269301
2026-08-31,63074.345139063444,62993.43226595322,90592.00079293692
