rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010426000016,ERROR,0,0,"RuntimeError('Not a zip for 20010426000016: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:34.634113+00:00
20010428000086,ERROR,0,0,"RuntimeError('Not a zip for 20010428000086: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:35.247621+00:00
20010428000046,ERROR,0,0,"RuntimeError('Not a zip for 20010428000046: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:35.581766+00:00
20010430000227,ERROR,0,0,"RuntimeError('Not a zip for 20010430000227: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:36.153405+00:00
20010428000156,ERROR,0,0,"RuntimeError('Not a zip for 20010428000156: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:36.683758+00:00
20010430000198,NO_CANDIDATES,0,1,,2026-09-02T18:58:37.511585+00:00
20010430000065,NO_CANDIDATES,0,1,,2026-09-02T18:58:37.685898+00:00
20010430000321,ERROR,0,0,"RuntimeError('Not a zip for 20010430000321: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:38.656158+00:00
20010430000076,ERROR,0,0,"RuntimeError('Not a zip for 20010430000076: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:43.737117+00:00
20010430000255,ERROR,0,0,"RuntimeError('Not a zip for 20010430000255: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:44.280590+00:00
20010502000017,ERROR,0,0,"RuntimeError('Not a zip for 20010502000017: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:45.800207+00:00
20010502000164,ERROR,0,0,"RuntimeError('Not a zip for 20010502000164: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:58:46.519815+00:00
