corp_code,stock_code,status,reports_found,error,updated_at_utc
00265078,039040,OK,41,,2026-09-04T18:27:01.018799+00:00
00252755,039530,OK,60,,2026-09-04T18:27:01.018799+00:00
00203315,036420,OK,60,,2026-09-04T18:27:01.018799+00:00
00139153,038110,OK,60,,2026-09-04T18:27:01.018799+00:00
00177320,036480,OK,60,,2026-09-04T18:27:01.018799+00:00
00252269,038880,OK,60,,2026-09-04T18:27:01.018799+00:00
00239596,037760,OK,60,,2026-09-04T18:27:01.018799+00:00
00138303,010280,OK,60,,2026-09-04T18:27:01.018799+00:00
00240398,034510,OK,47,,2026-09-04T18:27:01.018799+00:00
00139205,001540,OK,60,,2026-09-04T18:27:01.018799+00:00
00251482,034010,OK,49,,2026-09-04T18:27:01.018799+00:00
00260930,041510,OK,57,,2026-09-04T18:27:01.018799+00:00
00238153,037070,OK,60,,2026-09-04T18:27:01.018799+00:00
00264945,036800,OK,60,,2026-09-04T18:27:01.018799+00:00
00255105,038530,OK,60,,2026-09-04T18:27:01.018799+00:00
00260967,037740,OK,6,,2026-09-04T18:27:01.018799+00:00
00225159,036530,OK,60,,2026-09-04T18:27:01.018799+00:00
00206039,039240,OK,60,,2026-09-04T18:27:01.018799+00:00
00264529,040130,OK,13,,2026-09-04T18:27:01.018799+00:00
00116073,025340,OK,60,,2026-09-04T18:27:01.018799+00:00
00264228,038620,OK,60,,2026-09-04T18:27:01.018799+00:00
00264732,038950,OK,60,,2026-09-04T18:27:01.018799+00:00
00184889,039020,OK,60,,2026-09-04T18:27:01.018799+00:00
00264769,038810,OK,34,,2026-09-04T18:27:01.018799+00:00
00263991,041310,OK,33,,2026-09-04T18:27:01.018799+00:00
00158325,030190,OK,60,,2026-09-04T18:27:01.018799+00:00
00128661,031330,OK,60,,2026-09-04T18:27:01.018799+00:00
00264644,038990,OK,57,,2026-09-04T18:27:01.018799+00:00
00230911,036640,OK,60,,2026-09-04T18:27:01.018799+00:00
00264857,041060,OK,53,,2026-09-04T18:27:01.018799+00:00
00264671,039310,OK,60,,2026-09-04T18:27:01.018799+00:00
00145534,032180,OK,18,,2026-09-04T18:27:01.018799+00:00
00203209,043340,OK,59,,2026-09-04T18:27:01.018799+00:00
00271501,045970,OK,60,,2026-09-04T18:27:01.018799+00:00
00104467,031150,OK,11,,2026-09-04T18:27:01.018799+00:00
00174208,036890,OK,60,,2026-09-04T18:27:01.018799+00:00
00264103,044770,OK,35,,2026-09-04T18:27:01.018799+00:00
00264130,043790,OK,43,,2026-09-04T18:27:01.018799+00:00
00318839,042950,NO_REPORTS,0,,2026-09-04T18:27:01.018799+00:00
00114826,026540,OK,42,,2026-09-04T18:27:01.018799+00:00
00231044,032820,OK,60,,2026-09-04T18:27:01.018799+00:00
00240857,038460,OK,60,,2026-09-04T18:27:01.018799+00:00
00295370,039230,OK,60,,2026-09-04T18:27:01.018799+00:00
00268251,039560,OK,60,,2026-09-04T18:27:01.018799+00:00
00264848,042340,OK,46,,2026-09-04T18:27:01.018799+00:00
00257194,033720,OK,35,,2026-09-04T18:27:01.018799+00:00
00261601,035870,OK,14,,2026-09-04T18:27:01.018799+00:00
00264778,040780,OK,7,,2026-09-04T18:27:01.018799+00:00
00266952,042420,OK,60,,2026-09-04T18:27:01.018799+00:00
00267474,043630,OK,41,,2026-09-04T18:27:01.018799+00:00
00268297,042870,OK,44,,2026-09-04T18:27:01.018799+00:00
00266934,043200,OK,60,,2026-09-04T18:27:01.018799+00:00
00126788,009300,OK,61,,2026-09-04T18:27:01.018799+00:00
00258689,035900,OK,58,,2026-09-04T18:27:01.018799+00:00
00264635,038680,OK,60,,2026-09-04T18:27:01.018799+00:00
00229827,038980,OK,18,,2026-09-04T18:27:01.018799+00:00
00265342,038920,OK,38,,2026-09-04T18:27:01.018799+00:00
00264185,039580,OK,13,,2026-09-04T18:27:01.018799+00:00
00261957,039740,OK,60,,2026-09-04T18:27:01.018799+00:00
00261443,036570,OK,60,,2026-09-04T18:27:01.018799+00:00
00246189,037110,OK,37,,2026-09-04T18:27:01.018799+00:00
00246347,039850,OK,59,,2026-09-04T18:27:01.018799+00:00
00138376,041550,OK,42,,2026-09-04T18:27:01.018799+00:00
00264741,042820,OK,47,,2026-09-04T18:27:01.018799+00:00
00267021,042960,OK,17,,2026-09-04T18:27:01.018799+00:00
00271413,040020,OK,33,,2026-09-04T18:27:01.018799+00:00
00171867,042110,OK,60,,2026-09-04T18:27:01.018799+00:00
00268482,044370,OK,29,,2026-09-04T18:27:01.018799+00:00
00268288,042470,OK,7,,2026-09-04T18:27:01.018799+00:00
00200956,026180,OK,58,,2026-09-04T18:27:01.018799+00:00
00264556,038690,OK,37,,2026-09-04T18:27:01.018799+00:00
00198572,023020,OK,43,,2026-09-04T18:27:01.018799+00:00
00269773,040180,OK,43,,2026-09-04T18:27:01.018799+00:00
00234555,038420,OK,38,,2026-09-04T18:27:01.018799+00:00
00269339,041450,OK,39,,2026-09-04T18:27:01.018799+00:00
00223762,043610,OK,60,,2026-09-04T18:27:01.018799+00:00
00117638,007150,OK,60,,2026-09-04T18:27:01.018799+00:00
00255266,037730,OK,16,,2026-09-04T18:27:01.018799+00:00
00270405,039390,OK,12,,2026-09-04T18:27:01.018799+00:00
00261735,039790,OK,59,,2026-09-04T18:27:01.018799+00:00
00266943,041140,OK,60,,2026-09-04T18:27:01.018799+00:00
00150536,007370,OK,60,,2026-09-04T18:27:01.018799+00:00
00264796,043680,OK,41,,2026-09-04T18:27:01.018799+00:00
00264811,045470,OK,44,,2026-09-04T18:27:01.018799+00:00
00287788,040420,OK,60,,2026-09-04T18:27:01.018799+00:00
00103644,042370,OK,60,,2026-09-04T18:27:01.018799+00:00
00267669,044440,OK,17,,2026-09-04T18:27:01.018799+00:00
00269287,041320,OK,37,,2026-09-04T18:27:01.018799+00:00
00115931,039840,OK,57,,2026-09-04T18:27:01.018799+00:00
00270432,043890,OK,59,,2026-09-04T18:27:01.018799+00:00
00256715,043650,OK,60,,2026-09-04T18:27:01.018799+00:00
00255044,039010,OK,60,,2026-09-04T18:27:01.018799+00:00
00220109,043100,OK,60,,2026-09-04T18:27:01.018799+00:00
00220969,045060,OK,60,,2026-09-04T18:27:01.018799+00:00
00230425,039860,OK,60,,2026-09-04T18:27:01.018799+00:00
00172079,046210,OK,60,,2026-09-04T18:27:01.018799+00:00
00131018,018680,OK,60,,2026-09-04T18:27:01.018799+00:00
00306162,038540,OK,60,,2026-09-04T18:27:01.018799+00:00
00222213,039870,OK,60,,2026-09-04T18:27:01.018799+00:00
00248123,040670,OK,58,,2026-09-04T18:27:01.018799+00:00
00252658,046810,OK,21,,2026-09-04T18:27:01.018799+00:00
00107613,007660,OK,60,,2026-09-04T18:27:01.018799+00:00
00149877,015170,OK,37,,2026-09-04T18:27:01.018799+00:00
00242712,037950,OK,60,,2026-09-04T18:27:01.018799+00:00
00266989,038120,OK,49,,2026-09-04T18:27:01.018799+00:00
00246417,039030,OK,60,,2026-09-04T18:27:01.018799+00:00
00250775,046350,OK,37,,2026-09-04T18:27:01.018799+00:00
00269889,040160,OK,60,,2026-09-04T18:27:01.018799+00:00
00161301,021060,OK,46,,2026-09-04T18:27:01.018799+00:00
00271431,038830,OK,34,,2026-09-04T18:27:01.018799+00:00
00219486,035510,OK,60,,2026-09-04T18:27:01.018799+00:00
00147772,045510,OK,60,,2026-09-04T18:27:01.018799+00:00
00334244,047060,OK,60,,2026-09-04T18:27:01.018799+00:00
00231363,032640,OK,60,,2026-09-04T18:27:01.018799+00:00
00128546,000250,OK,60,,2026-09-04T18:27:01.018799+00:00
00248406,045920,OK,11,,2026-09-04T18:27:01.018799+00:00
00275808,048760,OK,23,,2026-09-04T18:27:01.018799+00:00
00108490,048830,OK,60,,2026-09-04T18:27:01.018799+00:00
00288653,042570,OK,29,,2026-09-04T18:27:01.018799+00:00
00232007,042940,OK,60,,2026-09-04T18:27:01.018799+00:00
00141671,010470,OK,60,,2026-09-04T18:27:01.018799+00:00
00293886,044340,OK,60,,2026-09-04T18:27:01.018799+00:00
00159616,034020,OK,56,,2026-09-04T18:27:01.018799+00:00
00201131,032080,OK,57,,2026-09-04T18:27:01.018799+00:00
00268358,046240,OK,40,,2026-09-04T18:27:01.018799+00:00
00176516,036190,OK,60,,2026-09-04T18:27:01.018799+00:00
00259606,036660,OK,36,,2026-09-04T18:27:01.018799+00:00
00111218,044180,OK,56,,2026-09-04T18:27:01.018799+00:00
00262123,050050,OK,56,,2026-09-04T18:27:01.018799+00:00
00145473,044960,OK,60,,2026-09-04T18:27:01.018799+00:00
00215107,047450,OK,39,,2026-09-04T18:27:01.018799+00:00
00340917,049770,OK,60,,2026-09-04T18:27:01.018799+00:00
00155212,022100,OK,60,,2026-09-04T18:27:01.018799+00:00
00269940,039130,OK,60,,2026-09-04T18:27:01.018799+00:00
00292081,040750,OK,9,,2026-09-04T18:27:01.018799+00:00
00185222,045520,OK,60,,2026-09-04T18:27:01.018799+00:00
00103015,014570,OK,60,,2026-09-04T18:27:01.018799+00:00
00204208,027740,OK,60,,2026-09-04T18:27:01.018799+00:00
00267094,039350,OK,42,,2026-09-04T18:27:01.018799+00:00
00295875,045380,OK,36,,2026-09-04T18:27:01.018799+00:00
00257361,047610,OK,13,,2026-09-04T18:27:01.018799+00:00
00269922,041830,OK,60,,2026-09-04T18:27:01.018799+00:00
00275260,048460,OK,48,,2026-09-04T18:27:01.018799+00:00
00105767,016990,OK,34,,2026-09-04T18:27:01.018799+00:00
00264787,033600,OK,60,,2026-09-04T18:27:01.018799+00:00
00252588,046320,OK,34,,2026-09-04T18:27:01.018799+00:00
00273615,030790,OK,60,,2026-09-04T18:27:01.018799+00:00
00295857,046070,OK,60,,2026-09-04T18:27:01.018799+00:00
00130949,016170,OK,60,,2026-09-04T18:27:01.018799+00:00
00258944,047600,OK,42,,2026-09-04T18:27:01.018799+00:00
00255433,042510,OK,60,,2026-09-04T18:27:01.018799+00:00
00252393,049000,OK,59,,2026-09-04T18:27:01.018799+00:00
00128926,017480,OK,60,,2026-09-04T18:27:01.018799+00:00
00236368,048640,OK,41,,2026-09-04T18:27:01.018799+00:00
00132318,014620,OK,60,,2026-09-04T18:27:01.018799+00:00
00335076,049480,OK,60,,2026-09-04T18:27:01.018799+00:00
00104892,023670,OK,42,,2026-09-04T18:27:01.018799+00:00
00141556,039830,OK,60,,2026-09-04T18:27:01.018799+00:00
00817154,027560,NO_REPORTS,0,,2026-09-04T18:27:01.018799+00:00
00173449,044480,OK,60,,2026-09-04T18:27:01.018799+00:00
00240370,044640,OK,39,,2026-09-04T18:27:01.018799+00:00
00318477,046000,OK,12,,2026-09-04T18:27:01.018799+00:00
00301112,046390,OK,60,,2026-09-04T18:27:01.018799+00:00
00201742,048430,OK,60,,2026-09-04T18:27:01.018799+00:00
00235183,044780,OK,60,,2026-09-04T18:27:01.018799+00:00
00135467,049830,OK,60,,2026-09-04T18:27:01.018799+00:00
00265041,036670,OK,60,,2026-09-04T18:27:01.018799+00:00
00291152,041500,OK,60,,2026-09-04T18:27:01.018799+00:00
00152783,049430,OK,60,,2026-09-04T18:27:01.018799+00:00
00155586,024850,OK,60,,2026-09-04T18:27:01.018799+00:00
00260903,036360,OK,33,,2026-09-04T18:27:01.018799+00:00
00264802,038720,OK,51,,2026-09-04T18:27:01.018799+00:00
00291860,044060,OK,60,,2026-09-04T18:27:01.018799+00:00
00185046,048550,OK,60,,2026-09-04T18:27:01.018799+00:00
00347734,051630,OK,59,,2026-09-04T18:27:01.018799+00:00
00225140,033260,OK,36,,2026-09-04T18:27:01.018799+00:00
00239639,038500,OK,60,,2026-09-04T18:27:01.018799+00:00
00111704,042660,OK,53,,2026-09-04T18:27:01.018799+00:00
00344287,042670,OK,60,,2026-09-04T18:27:01.018799+00:00
00338152,049790,OK,7,,2026-09-04T18:27:01.018799+00:00
00124540,047040,OK,60,,2026-09-04T18:27:01.018799+00:00
00124504,047050,OK,60,,2026-09-04T18:27:01.018799+00:00
00108649,048770,OK,60,,2026-09-04T18:27:01.018799+00:00
00268181,039110,OK,60,,2026-09-04T18:27:01.018799+00:00
00260888,037750,OK,13,,2026-09-04T18:27:01.018799+00:00
00256380,049520,OK,58,,2026-09-04T18:27:01.018799+00:00
00291231,052270,OK,58,,2026-09-04T18:27:01.018799+00:00
00320807,048140,OK,39,,2026-09-04T18:27:01.018799+00:00
00301246,036540,OK,59,,2026-09-04T18:27:01.018799+00:00
00206084,033020,OK,56,,2026-09-04T18:27:01.018799+00:00
00325918,036590,OK,17,,2026-09-04T18:27:01.018799+00:00
00304401,047730,OK,47,,2026-09-04T18:27:01.018799+00:00
00244330,038960,OK,23,,2026-09-04T18:27:01.018799+00:00
00318316,045390,OK,59,,2026-09-04T18:27:01.018799+00:00
00330044,050110,OK,59,,2026-09-04T18:27:01.018799+00:00
00347062,052260,OK,59,,2026-09-04T18:27:01.018799+00:00
00233653,034830,OK,60,,2026-09-04T18:27:01.018799+00:00
00256502,045660,OK,58,,2026-09-04T18:27:01.018799+00:00
00347363,052310,OK,34,,2026-09-04T18:27:01.018799+00:00
00287812,038870,OK,58,,2026-09-04T18:27:01.018799+00:00
00325981,047370,OK,32,,2026-09-04T18:27:01.018799+00:00
00297095,051490,OK,60,,2026-09-04T18:27:01.018799+00:00
00348177,052290,OK,58,,2026-09-04T18:27:01.018799+00:00
00264839,039060,OK,30,,2026-09-04T18:27:01.018799+00:00
00120100,012990,OK,27,,2026-09-04T18:27:01.018799+00:00
00356361,051910,OK,59,,2026-09-04T18:27:01.018799+00:00
00331760,048510,OK,37,,2026-09-04T18:27:01.018799+00:00
00329084,047940,OK,36,,2026-09-04T18:27:01.018799+00:00
00296069,050600,OK,29,,2026-09-04T18:27:01.018799+00:00
00347877,052190,OK,58,,2026-09-04T18:27:01.018799+00:00
00276083,033790,OK,58,,2026-09-04T18:27:01.018799+00:00
00296324,051780,OK,58,,2026-09-04T18:27:01.018799+00:00
00271352,043690,OK,15,,2026-09-04T18:27:01.018799+00:00
00317487,043220,OK,58,,2026-09-04T18:27:01.018799+00:00
00300779,051530,OK,33,,2026-09-04T18:27:01.018799+00:00
00273110,052020,OK,58,,2026-09-04T18:27:01.018799+00:00
00343127,046840,OK,50,,2026-09-04T18:27:01.018799+00:00
00305297,052330,OK,58,,2026-09-04T18:27:01.018799+00:00
00339063,052560,OK,32,,2026-09-04T18:27:01.018799+00:00
00244783,052600,OK,58,,2026-09-04T18:27:01.018799+00:00
00347442,051810,OK,54,,2026-09-04T18:27:01.018799+00:00
00295547,043360,OK,58,,2026-09-04T18:27:01.018799+00:00
00348557,047710,OK,36,,2026-09-04T18:27:01.018799+00:00
00356370,051900,OK,59,,2026-09-04T18:27:01.018799+00:00
00349811,052300,OK,58,,2026-09-04T18:27:01.018799+00:00
00294371,041940,OK,27,,2026-09-04T18:27:01.018799+00:00
00350251,052880,OK,57,,2026-09-04T18:27:01.018799+00:00
00350020,049120,OK,58,,2026-09-04T18:27:01.018799+00:00
00303217,049800,OK,58,,2026-09-04T18:27:01.018799+00:00
00127954,051500,OK,58,,2026-09-04T18:27:01.018799+00:00
00377610,058650,OK,57,,2026-09-04T18:27:01.018799+00:00
00274933,031440,OK,58,,2026-09-04T18:27:01.018799+00:00
00309983,048540,OK,12,,2026-09-04T18:27:01.018799+00:00
00351807,048910,OK,58,,2026-09-04T18:27:01.018799+00:00
00347716,051980,OK,58,,2026-09-04T18:27:01.018799+00:00
00347840,052640,OK,38,,2026-09-04T18:27:01.018799+00:00
00311298,053470,OK,35,,2026-09-04T18:27:01.018799+00:00
00222806,043580,OK,58,,2026-09-04T18:27:01.018799+00:00
