Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2023-01-10,-0.15493260247679919,-0.1549960726076649,-0.1691266705144644
2023-01-11,-0.14634916695113243,-0.14641328175457402,-0.15861771494716015
2023-01-12,-0.14144261929559143,-0.14150710261309807,-0.15555452657930513
2023-01-13,-0.14127498509943004,-0.1413394810073696,-0.15227842160082472
2023-01-16,-0.14127498509943004,-0.1413394810073696,-0.15227842160082472
2023-01-17,-0.1432923958290142,-0.14335674021611255,-0.15383136855070934
2023-01-18,-0.14681174157822896,-0.1468758216392677,-0.16719066376957026
2023-01-19,-0.15116474152563708,-0.15122849464769184,-0.17325349141486424
2023-01-20,-0.14405211419577768,-0.14411640152301985,-0.15785193482877824
2023-01-23,-0.13899542975847168,-0.13906009687604048,-0.14774722208662217
2023-01-24,-0.13758513868905908,-0.1376499117287815,-0.14866209814790377
2023-01-25,-0.13701074762774224,-0.13707556380801889,-0.1483430627036023
2023-01-26,-0.13254620018658891,-0.13261135168380156,-0.1389829470496894
2023-01-27,-0.1318578298533044,-0.13192303305166564,-0.1370047100331725
2023-01-30,-0.13953084421653894,-0.1395954711209535,-0.14783249736179616
2023-01-31,-0.13016396807054698,-0.13022929848909137,-0.13530280292904284
2023-02-01,-0.12209656901871613,-0.12216250535209638,-0.12611296624816815
2023-02-02,-0.11447800230131022,-0.11454451083926032,-0.11339187770656489
2023-02-03,-0.12392687778667477,-0.12399267665180413,-0.12281574613387614
2023-02-06,-0.13013692788216924,-0.13020226033160986,-0.12817641064553176
2023-02-07,-0.1240147130862359,-0.12408050535435544,-0.11677423730737613
2023-02-08,-0.12865810409966494,-0.12872354761851768,-0.12643206958679698
2023-02-09,-0.13479849035212732,-0.1348634726875051,-0.13400513865006103
2023-02-10,-0.13519238291593572,-0.13525733566738618,-0.13198412820730254
2023-02-13,-0.12818324081909127,-0.1282487200033059,-0.12179461545026382
2023-02-14,-0.1299521325770292,-0.1300174789058154,-0.12219865459242996
2023-02-15,-0.12921761729473458,-0.12928301879045911,-0.11934838283520066
2023-02-16,-0.13771862878797014,-0.13778339180170662,-0.13147376654847853
2023-02-17,-0.1381074484788224,-0.13817218228963757,-0.13364346556817264
2023-02-20,-0.1381074484788224,-0.13817218228963757,-0.13364346556817264
2023-02-21,-0.15233862137582244,-0.15240228633176445,-0.15102346285375756
2023-02-22,-0.15246379568028112,-0.1525274512348077,-0.15219341790296004
2023-02-23,-0.14843348702412695,-0.14849744528139497,-0.14768340141889635
2023-02-24,-0.15599245819427565,-0.15605584872299239,-0.15678837019056113
2023-02-27,-0.15323763457313022,-0.1533012320072562,-0.1539164401429014
2023-02-28,-0.1546255471338993,-0.1546890403266452,-0.15704365286146404
2023-03-01,-0.15924633537598942,-0.15930948151708557,-0.16027712020235751
2023-03-02,-0.15661629206622218,-0.15667963574090393,-0.15374629695851738
2023-03-03,-0.14570507809175437,-0.1457692412705146,-0.14017435670634026
2023-03-06,-0.14593139990704307,-0.14599554608754328,-0.13957871977234226
2023-03-07,-0.15393925858847812,-0.15400280332601657,-0.15276793970114677
2023-03-08,-0.15319989614339224,-0.15326349641192316,-0.1513850001469912
2023-03-09,-0.1607015604348614,-0.16076459727896508,-0.1670419072983076
2023-03-10,-0.1619278142743067,-0.16199075901866555,-0.17906096849492736
2023-03-13,-0.15854986111418867,-0.15861305956509164,-0.18023105933278483
2023-03-14,-0.153511427726284,-0.15357500459673978,-0.1666801663220916
2023-03-15,-0.15180035847582551,-0.15186406385885842,-0.17189193857382923
2023-03-16,-0.1460269577005937,-0.14609109670407394,-0.15736275620009288
2023-03-17,-0.1480125234565972,-0.14807651333100336,-0.16721537730473213
2023-03-20,-0.1445166886550383,-0.1445809410896769,-0.15920778454631412
2023-03-21,-0.14076663673588619,-0.1408311708241381,-0.14816769165601118
2023-03-22,-0.14514807450380984,-0.14521227951720994,-0.16268838723882673
2023-03-23,-0.14179150518798733,-0.14185596230186404,-0.1604248582587099
2023-03-24,-0.13832798328891205,-0.1383927005361093,-0.15491557306444648
2023-03-27,-0.14162927420303695,-0.14169374350152986,-0.15333533259495968
2023-03-28,-0.1429961883133889,-0.1430605549476237,-0.15523583060664048
2023-03-29,-0.13609848214967435,-0.1361633668471004,-0.14295727729082064
2023-03-30,-0.13251832002202757,-0.1325834736132242,-0.13793907176640863
2023-03-31,-0.12323697769123543,-0.12330282837240869,-0.12578870294065936
2023-04-03,-0.11958663324797825,-0.11965275809407638,-0.12245753566268347
2023-04-04,-0.12033185830874393,-0.1203979271835286,-0.12732610208957673
