Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2018-07-19,1364.38,1366.37,1330.92,1335.45,88088578,-0.0186,1756538138791,133711481767101
2018-07-20,1335.33,1340.2,1310.48,1322.35,61531685,-0.0098,1241469728400,132477585380976
2018-07-23,1322.58,1322.98,1249.93,1249.93,70099174,-0.0548,1484879111237,125705290602504
2018-07-24,1261.78,1272.26,1249.0,1252.13,65328305,0.0018,1274767856335,126122731453180
2018-07-25,1257.22,1260.31,1207.15,1221.71,84241189,-0.0243,1820741366532,123161237428897
2018-07-26,1236.78,1256.31,1222.49,1256.23,79597358,0.0283,1410101557380,126495402458380
2018-07-27,1255.89,1263.65,1247.5,1262.84,67987455,0.0053,1215348815060,127424803585522
2018-07-30,1256.83,1260.41,1233.72,1247.03,155462795,-0.0125,1213157561871,125866231662078
2018-07-31,1242.75,1265.58,1237.75,1265.58,147738493,0.0149,1254254053550,127436759674506
2018-08-01,1274.56,1303.59,1273.06,1303.39,103038899,0.0299,1551701896733,131041805055078
2018-08-02,1298.01,1298.52,1271.1,1280.73,125737767,-0.0174,1402450978516,128920775890696
2018-08-03,1289.81,1296.51,1283.67,1295.07,88078295,0.0112,1010503445971,130281047195306
2018-08-06,1292.98,1299.72,1274.51,1275.95,90379727,-0.0148,1161183414795,128348917993247
2018-08-07,1281.23,1285.37,1262.88,1284.75,81877124,0.0069,1038251666464,129144354784003
2018-08-08,1288.11,1296.42,1273.11,1280.26,88335650,-0.0034999999999999,1228531599322,128758109332621
2018-08-09,1276.0,1298.4,1271.41,1297.4,69410765,0.0134,1355009026281,130308963844258
2018-08-10,1295.71,1305.4,1281.24,1290.31,85087201,-0.0055,1263473182186,129991059329426
2018-08-13,1281.47,1281.47,1239.1,1239.24,81530484,-0.0395999999999999,1224686280485,125019037897757
2018-08-14,1244.87,1257.63,1236.53,1253.34,62919451,0.0113999999999999,1140162140579,126641647880026
2018-08-16,1230.23,1254.59,1217.74,1252.37,62863006,-0.0008,1225716399556,126599646403723
2018-08-17,1260.69,1280.44,1257.15,1276.4,73002932,0.0192,1470525731812,128542121960834
2018-08-20,1282.42,1289.77,1266.92,1266.92,64080058,-0.0074,1267645453498,127475968249143
2018-08-21,1273.45,1315.65,1271.42,1309.58,70076658,0.0337,1398735136514,131517398550228
2018-08-22,1312.47,1319.34,1298.11,1298.84,73544155,-0.0081999999999999,1113445281727,130527083923801
2018-08-23,1304.02,1313.64,1290.48,1313.64,58020651,0.0113999999999999,1086952824000,131994242181677
2018-08-24,1311.45,1334.67,1301.78,1331.1,53824118,0.0133,1162806280362,133573763897489
2018-08-27,1336.98,1346.7,1332.83,1343.91,61456460,0.0096,1397979501620,135011626308410
2018-08-28,1356.05,1356.91,1332.56,1332.59,59156527,-0.0084,1423351327331,133681858836926
2018-08-29,1336.68,1343.39,1330.91,1342.81,52475250,0.0077,1193396304353,134758108167019
2018-08-30,1344.94,1352.64,1336.13,1343.57,56204770,0.0006,1157972333671,132609141909518
2018-08-31,1338.54,1379.79,1336.42,1376.46,62754887,0.0245,1783025332114,135425774640287
2018-09-03,1374.29,1381.38,1363.94,1373.98,66055208,-0.0018,1552770930744,134837530961003
2018-09-04,1379.85,1404.26,1376.75,1400.21,61257295,0.0191,1453524118747,137503511283780
2018-09-05,1399.18,1402.52,1376.93,1377.39,104046515,-0.0163,1745364710813,135284417070592
2018-09-06,1379.51,1383.17,1362.17,1368.64,108577997,-0.0064,1773055961071,134452145955704
2018-09-07,1365.7,1376.57,1355.83,1371.07,108277012,0.0018,1873686693195,134704820194454
2018-09-10,1369.28,1374.83,1363.83,1367.9,65804967,-0.0023,1155237647678,134385762093549
2018-09-11,1368.25,1382.13,1367.5,1379.72,102042242,0.0086,1424108816767,135513528143093
2018-09-12,1386.39,1405.14,1383.63,1400.28,107946030,0.0149,2826252110601,137258188188655
2018-09-13,1407.56,1411.67,1393.79,1410.33,64887075,0.0072,2016804884273,138415567376648
2018-09-14,1415.24,1427.01,1406.21,1422.65,113025343,0.0087,2590713976133,139280301595965
2018-09-17,1430.97,1431.54,1408.5,1414.55,103244007,-0.0056999999999999,1973034663827,138398506206681
2018-09-18,1408.55,1426.23,1405.45,1423.37,86446439,0.0062,1712087271430,139164669632220
2018-09-19,1422.5,1427.0,1411.98,1421.1,92999423,-0.0016,2366474678705,138789533249148
2018-09-20,1425.01,1443.6,1403.7,1410.28,116780626,-0.0076,3110223226140,137618534609755
2018-09-21,1418.92,1420.28,1405.58,1419.03,79709733,0.0062,1720568840895,138527854146115
2018-09-27,1416.96,1434.02,1416.45,1428.55,71172885,0.0067,1721972218802,139490017344387
2018-09-28,1436.23,1438.26,1407.75,1411.73,67771622,-0.0118,1636713789260,137877453913242
2018-10-01,1417.37,1418.16,1390.13,1401.06,52992395,-0.0076,1395602382272,136852402018234
2018-10-02,1402.81,1404.9,1348.5,1348.5,65054480,-0.0375,1762901535571,132108751324467
2018-10-04,1359.85,1364.62,1328.15,1343.37,62051679,-0.0038,1553496505479,131492331061541
2018-10-05,1335.98,1349.66,1306.29,1310.87,64293500,-0.0242,1756678242353,128644193333756
2018-10-08,1309.54,1336.11,1297.15,1297.4,48148807,-0.0103,1342659706154,127566888064709
2018-10-10,1302.22,1309.23,1273.85,1278.35,68248997,-0.0147,1512163357461,125593313678992
2018-10-11,1235.38,1259.74,1219.79,1221.54,89316708,-0.0444,1911098810731,120033837041784
2018-10-12,1227.52,1273.7,1226.99,1273.67,66527281,0.0426999999999999,1791038488602,124821308167369
2018-10-15,1272.78,1272.78,1231.29,1234.17,57799145,-0.031,1416801860622,121262521097164
2018-10-16,1247.5,1265.59,1241.45,1257.53,47480259,0.0189,1169088981419,123421731685788
2018-10-17,1283.02,1285.08,1253.31,1268.82,60078057,0.009,1355653854404,124733417327514
2018-10-18,1271.82,1271.82,1243.35,1245.72,38241468,-0.0182,882662608279,122715521888317
2018-10-19,1234.75,1274.39,1227.28,1274.33,60423878,0.023,1387545009588,125428273306292
2018-10-22,1263.88,1284.76,1255.68,1284.09,46119629,0.0077,1082243839888,126375988794867
2018-10-23,1271.62,1275.61,1229.37,1235.5,51849173,-0.0378,1418224237209,121723061649520
2018-10-24,1252.8,1258.92,1197.57,1203.59,70806824,-0.0258,1920796757295,118688029037444
2018-10-25,1168.44,1200.73,1158.75,1189.48,72200454,-0.0116999999999999,1872370413484,117325076543489
2018-10-26,1201.04,1201.04,1140.89,1148.4,67721504,-0.0345,1658480494737,113385257580071
2018-10-29,1158.5,1181.21,1113.28,1114.83,81458650,-0.0292,1852426520840,110075779140679
2018-10-30,1114.36,1143.64,1096.78,1142.22,85285716,0.0246,1795706845609,112483569079137
2018-10-31,1146.21,1146.59,1118.6,1124.49,60903957,-0.0155,1269721124915,110832621888205
2018-11-01,1132.57,1151.91,1125.76,1125.97,76442794,0.0013,1635324057594,111106472385761
2018-11-02,1143.23,1192.67,1140.47,1192.66,78855677,0.0592,1746505268709,117460387722431
2018-11-05,1183.89,1199.15,1173.12,1195.2,59112283,0.0021,1372617739101,117492558930489
2018-11-06,1200.8,1200.87,1171.48,1189.95,60928530,-0.0044,1276609108039,117109189045148
2018-11-07,1190.11,1205.11,1167.92,1173.07,74251024,-0.0141999999999999,1630213268564,115178153885236
2018-11-08,1195.99,1199.0,1180.5,1185.18,65128326,0.0103,1542040314824,116800457661857
2018-11-09,1183.48,1186.72,1153.63,1164.4,51336632,-0.0175,1322718140084,115084827919768
2018-11-12,1140.74,1150.64,1120.87,1122.05,57532537,-0.0364,1525641273060,111233079190610
2018-11-13,1100.84,1130.92,1088.28,1125.62,59961800,0.0032,1510416282447,111385841015714
2018-11-14,1120.34,1151.25,1110.93,1127.61,51218466,0.0018,1415888158840,111442745102869
2018-11-15,1132.04,1156.18,1122.31,1156.18,57402606,0.0253,1294105285323,114463300293546
2018-11-16,1161.33,1181.54,1156.38,1173.67,55864747,0.0151,1443663969269,116139915960543
2018-11-19,1178.66,1202.42,1175.05,1202.19,52353463,0.0243,1516335044878,118660608981468
2018-11-20,1182.39,1194.29,1172.43,1173.45,55830697,-0.0239,1647226106915,115922839314119
2018-11-21,1152.97,1186.22,1143.03,1186.22,56492517,0.0109,1381122187672,117240807655611
2018-11-22,1188.74,1195.7,1174.8,1182.87,44101833,-0.0028,1094608216558,116857556526688
2018-11-23,1185.68,1191.63,1164.27,1165.19,41567782,-0.0149,1010320068675,115089245562496
2018-11-26,1169.37,1198.76,1168.88,1193.87,43778767,0.0246,930450960383,118012670088634
2018-11-27,1200.28,1207.08,1185.64,1200.95,45532649,0.0059,1036679229963,118710129011160
