Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
024840,KBI메탈,KOSDAQ,43330365120.0,683558525.0,531398.0,1315.0,CFS,93306973333.0,130793083480.0,5670219741.0,12297572478.0,0.5234407534113112,28.0,2.1533853470792077,70.0,1.1352382971103845,93.0,12.074034743790316,48.0,59.75,2,2020-04-29,0.05
010770,평화홀딩스,KOSPI,48849056440.0,118727630.0,35367.0,3340.0,CFS,124045145313.0,152847596765.0,7196070738.0,11168839876.0,0.5892495177947802,19.0,2.539356015307304,53.0,0.9145593131133158,130.0,12.515909858176167,42.0,61.0,3,2020-04-29,0.05
067570,엔브이에이치코리아,KOSDAQ,74127421425.0,555956695.0,220575.0,2505.0,CFS,182906972581.0,228073770781.0,3515365357.0,17157542659.0,0.18969311433862546,142.0,2.4674670866038424,60.0,0.925840523205546,128.0,12.307120166685333,45.0,93.75,4,2020-04-29,0.05
002880,대유에이텍,KOSPI,76872594653.0,102614853.0,143136.0,719.0,CFS,10107823729.0,402431328722.0,28816122648.0,100319239560.0,1.4994224029031358,2.0,0.13148800004249026,481.0,5.220026201162444,3.0,20.940171489647767,13.0,124.75,5,2020-04-29,0.05
011080,형지I&C,KOSDAQ,19828435012.0,66555839.0,128611.0,509.0,OFS,22629965461.0,27775833745.0,2947679485.0,4309490994.0,0.5946368401169512,16.0,1.1412885307037361,179.0,0.8693557492342553,139.0,5.603232676343907,188.0,130.5,6,2020-04-29,0.05
013520,화승알앤에이,KOSPI,104911966250.0,108968370.0,66742.0,1625.0,CFS,262263464934.0,407938961487.0,1834444431.0,62943415666.0,0.0699422381095636,464.0,2.499843195284694,57.0,2.3998564859992793,22.0,15.553572240363954,27.0,142.5,7,2020-04-29,0.05
012620,원일특강,KOSDAQ,39996000000.0,256479810.0,28476.0,9090.0,CFS,118013582165.0,63012439975.0,5656695800.0,3954173172.0,0.5657261526152615,23.0,2.9506346175867586,35.0,0.3954568628862886,359.0,6.301874184918492,154.0,142.75,8,2020-04-29,0.05
015020,이스타코,KOSPI,28324907600.0,43780298.0,65711.0,661.0,OFS,48886040529.0,18674083161.0,5754375719.0,12944410933.0,0.8126241116493528,12.0,1.7259029127071186,101.0,1.8279898548371611,39.0,2.6371253773834025,444.0,149.0,9,2020-04-29,0.05
013310,아진산업,KOSDAQ,79438105740.0,827905855.0,384486.0,2170.0,CFS,67270377858.0,95153897314.0,7779133211.0,18877576773.0,0.3917078907425619,47.0,0.8468275675930034,240.0,0.9505552327637867,121.0,4.79134775068467,232.0,160.0,10,2020-04-29,0.05
009970,영원무역홀딩스,KOSPI,559741051600.0,113488350.0,2787.0,41050.0,CFS,316254515416.0,733181102002.0,43068213480.0,214701660750.0,0.30777241266754357,66.0,0.5650014672177387,319.0,1.5342927600988556,61.0,5.239430625330965,204.0,162.5,11,2020-04-29,0.05
