,전략(비용전),전략(비용후),정적4자산25%
2012-03-31,2.1738225576717034,2.159695375074563,4.548764537479935
2012-04-30,2.2055184415622526,2.1911852745632485,4.603098347645644
2012-05-31,2.242986253592533,2.2284095917322766,4.551254308257021
2012-06-30,2.2491087383881303,2.234492287879831,4.595437816233004
2012-07-31,2.316367332752544,2.3013137838065365,4.766746115969775
2012-08-31,2.3282067752736295,2.3130762844605166,4.810482405059118
2012-09-30,2.3263868372318774,2.3112681737856953,4.877322626086409
2012-10-31,2.3215566434463715,2.3064693703403742,4.804680095152727
2012-11-30,2.3231468628640735,2.308049255280681,4.8296116701276
2012-12-31,2.300377640354355,2.285428004813508,4.832175812913845
2013-01-31,2.315016951900988,2.2987747183179823,4.847152161616862
2013-02-28,2.3506090204344336,2.334117071750919,4.9470793985005255
2013-03-31,2.3670902848949105,2.350482703128497,4.9845096750006626
2013-04-30,2.3799652311800332,2.3632673183753266,5.044913999128719
2013-05-31,2.370596057634481,2.353963879253482,4.9658180907514815
2013-06-30,2.3032904403821166,2.2871304803820514,4.769072087158334
2013-07-31,2.337222087038567,2.320824061511423,4.832667930494757
2013-08-31,2.3183927282926424,2.3021268101536183,4.780686687449051
2013-09-30,2.364647577971343,2.34805713431547,4.900967669579736
2013-10-31,2.408114437328718,2.391219028785991,5.011453931424844
2013-11-30,2.413880482186714,2.3969446188873356,4.998946673557229
2013-12-31,2.430203615962347,2.413153229030054,5.030962341623995
2014-01-31,2.388464148616008,2.371175547143541,5.004223431552827
2014-02-28,2.425827961345058,2.408268906548794,5.112011396963882
2014-03-31,2.431307147187118,2.413708431983779,5.13517769542111
2014-04-30,2.431992940662613,2.414389261428268,5.165295148684774
2014-05-31,2.460511494921261,2.442701387669383,5.306364256273279
2014-06-30,2.477753685032601,2.4598187723263387,5.363941255964028
2014-07-31,2.4891415430146715,2.471124200710966,5.426763726221804
2014-08-31,2.5067321908214186,2.4885875207955244,5.5313872489862
2014-09-30,2.4875908463115297,2.4695847285335604,5.480761521013399
2014-10-31,2.4972878906011684,2.479211581970939,5.567664911704278
2014-11-30,2.5228376344207177,2.504576387139064,5.679159501185522
2014-12-31,2.510706284464103,2.4925328484543265,5.6985905156830645
2015-01-31,2.5963236661153006,2.5758731340160934,5.928957392678601
2015-02-28,2.5718405166460796,2.5515828316254723,5.883327090877396
2015-03-31,2.5904419624320516,2.5700377589056425,5.953088173583766
2015-04-30,2.5467707792094374,2.5267105616605705,5.915367655800699
2015-05-31,2.5515833047136427,2.5314851802163525,5.8927837859137275
2015-06-30,2.500824469834985,2.4811261588107034,5.722786008897255
2015-07-31,2.5466106516180633,2.5265516953504803,5.78003575415121
2015-08-31,2.523300360493365,2.5034250130196734,5.652724031150665
2015-09-30,2.5481509934723783,2.528079904352891,5.7342435748665785
2015-10-31,2.593757376134036,2.5733270579997987,5.931182929503506
2015-11-30,2.574435381172385,2.554157257112924,5.853580515175173
2015-12-31,2.5881847590541036,2.5677983349019446,5.8741988218858205
2016-01-31,2.5820142294603095,2.560695011393777,5.8547415225923025
