Date,NAV_Gross,NAV_Net,Drawdown_Net,Turnover,Cost
2010-08-17,13477.561583248977,13473.765377867654,0.0,0.0,0.0
2010-08-18,13498.543298901444,13494.74118363046,0.0,0.0,0.0
2010-08-19,13529.839426956862,13526.028496550514,0.0,0.0,0.0
2010-08-20,13495.900115614098,13492.098744844749,-0.002508478502349698,0.0,0.0
2010-08-23,13479.08784382459,13475.29120854365,-0.0037510853995172955,0.0,0.0
2010-08-24,13534.940949372365,13531.128582027537,0.0,0.0,0.0
2010-08-25,13531.637155437638,13527.825718667695,-0.00024409370880040804,0.0,0.0
2010-08-26,13580.685547160694,13576.860295000819,0.0,0.0,0.0
2010-08-27,13451.103608183552,13447.314855182001,-0.009541634590327086,0.0,0.0
2010-08-30,13527.718663244543,13523.908330190658,-0.0039001627518888693,0.0,0.0
2010-08-31,13603.28843521946,13599.456816536624,0.0,0.0,0.0
2010-09-01,13578.31534578544,13574.490761236777,-0.001835812682568938,0.0,0.0
2010-09-02,13550.435090875995,13546.618359318622,-0.003885335857955141,0.0,0.0
2010-09-03,13512.500598485283,13508.694551881807,-0.006673962488299656,0.0,0.0
2010-09-07,13619.404128003282,13615.567970036445,0.0,0.0,0.0
2010-09-08,13593.397794658396,13589.568961858058,-0.001909505959325597,0.0,0.0
2010-09-09,13461.825929239538,13458.034156097243,-0.01157012430813642,0.0,0.0
2010-09-10,13458.004379189055,13454.213682457264,-0.011850720288295813,0.0,0.0
2010-09-13,13542.636700065044,13538.822165069192,-0.005636621633129502,0.0,0.0
2010-09-14,13629.897230734465,13626.05811719048,0.0,0.0,0.0
2010-09-15,13547.337364099678,13543.521505074552,-0.0060572625924588674,0.0,0.0
2010-09-16,13483.18466013657,13479.386870911276,-0.01076402617820671,0.0,0.0
2010-09-17,13514.73927699475,13510.932599825921,-0.008448923112937323,0.0,0.0
2010-09-20,13621.730656383343,13617.893843106607,-0.0005991662455610003,0.0,0.0
2010-09-21,13714.562390630252,13710.699429572487,0.0,0.0,0.0
2010-09-22,13758.66328719629,13754.787904302437,0.0,0.0,0.0
2010-09-23,13749.626665344485,13745.75382778291,-0.0006567950434700487,0.0,0.0
2010-09-24,13752.976083291136,13749.102302303827,-0.0004133543925335381,0.0,0.0
2010-09-27,13847.41916622664,13843.518783592033,0.0,0.0,0.0
2010-09-28,13918.232799907719,13914.312471298792,0.0,0.0,0.0
2010-09-29,13893.73953574333,13889.826106116883,-0.001759796988346829,0.0,0.0
2010-09-30,13880.692434939272,13876.782680270937,-0.002697207720846251,0.0,0.0
2010-10-01,13879.205777688261,13875.296441764534,-0.0028040213711411077,0.0,0.0
2010-10-04,13866.694043783029,13862.78823202139,-0.003702966954614584,0.0,0.0
2010-10-05,13947.01761409179,13943.089177705662,0.0,0.0,0.0
2010-10-06,14042.340866891273,14038.385580941667,0.0,0.0,0.0
2010-10-07,13968.298048956716,13964.363618541114,-0.0052728258512177995,0.0,0.0
2010-10-08,14005.39907639852,14001.454195789896,-0.002630743039421013,0.0,0.0
2010-10-11,14013.260787175273,14009.313692169886,-0.0020708854735582705,0.0,0.0
2010-10-12,13961.9943330292,13958.061678172198,-0.005721733621458225,0.0,0.0
2010-10-13,14005.501845984052,14001.55693642847,-0.0026234244885819935,0.0,0.0
2010-10-14,13894.52752809032,13890.613876511203,-0.010526260557416012,0.0,0.0
2010-10-15,13803.28889543478,13799.400942910059,-0.017023655366472545,0.0,0.0
2010-10-18,13893.124596387623,13889.21133997026,-0.010626167810487086,0.0,0.0
2010-10-19,13820.926203684789,13817.033283284829,-0.015767646242552558,0.0,0.0
2010-10-20,13901.770482784044,13897.854791092299,-0.010010466590984035,0.0,0.0
2010-10-21,13802.610689179826,13798.722927684486,-0.017071952602765395,0.0,0.0
2010-10-22,13859.25369628278,13855.34998023312,-0.013038222924795062,0.0,0.0
2010-10-25,13901.059604656593,13897.144113196868,-0.01006109049580084,0.0,0.0
2010-10-26,13803.196208084952,13799.308281667345,-0.017030255929064264,0.0,0.0
2010-10-27,13715.046076592682,13711.182979295794,-0.023307708693375617,0.0,0.0
2010-10-28,13762.693904987598,13758.817386795437,-0.019914554457441946,0.0,0.0
2010-10-29,13837.577809155879,13833.680198522165,-0.014581832165759034,0.0,0.0
2010-11-01,13810.704631775978,13806.814590471475,-0.01649555706637451,0.0,0.0
2010-11-02,13937.257824553666,13933.332137193422,-0.007483299496408247,0.0,0.0
2010-11-03,13839.081194489418,13835.18316039932,-0.014474771288388921,0.0,0.0
