,성장형,중립형,안정형
2011-07-31,30589340.606244437,28001725.79723885,24740482.584729888
2011-08-31,31110902.53933058,28433136.678173404,25043864.619504634
2011-09-30,32660038.031133875,29653380.138386354,25868006.330109905
2011-10-31,32550337.24078223,29569990.855905253,25831576.9335572
2011-11-30,32890506.27043598,29852081.9400775,26035178.231975734
2011-12-31,32448367.08372532,29529786.50310259,25841055.491632037
2012-01-31,33789608.46939625,30561005.801722974,26538628.39899769
2012-02-29,34346957.10980414,30994056.666556895,26840803.3332718
2012-03-31,33871408.65012461,30640092.259523407,26627406.965475604
2012-04-30,34017283.83682403,30770715.251959365,26730777.09362587
2012-05-31,34086894.6185534,30853860.343425106,26803869.630689826
2012-06-30,33861464.39002613,30691391.629678294,26717288.916277125
2012-07-31,34198036.887593865,30970583.606828492,26919985.27039437
2012-08-31,34698730.76648238,31367912.363633107,27199419.075021327
2012-09-30,35436398.47781201,31937434.449008036,27591479.347991437
2012-10-31,34436985.3555789,31189619.814356606,27117784.75666708
2012-11-30,34430617.04430942,31195317.48716407,27137892.647596154
2012-12-31,34001569.69903524,30873642.61114401,26941350.32396358
2013-01-31,35191989.38226704,31787488.649135448,27556330.523559783
2013-02-28,34859765.70879164,31547503.83474102,27412578.3276982
2013-03-31,35818433.07524184,32290507.852710024,27915517.186828904
2013-04-30,35560007.63777026,32105504.72286036,27810962.38684345
2013-05-31,35854884.61859694,32334580.92346944,27975860.753840275
2013-06-30,33786083.026420906,30762441.37295681,26962541.568609744
2013-07-31,34150498.00708303,31047317.320491206,27163573.688326243
2013-08-31,33586043.29480046,30631777.228086956,26905040.913476087
2013-09-30,33332846.423798874,30445865.656657193,26798605.80644825
2013-10-31,33946227.60044805,30920914.91988348,27126025.70843789
2013-11-30,33720137.374107905,30754313.029802255,27031136.458085287
2013-12-31,33558763.45772376,30637888.032797083,26970966.003274407
2014-01-31,34081973.25249758,31059249.497292362,27264250.230915282
2014-02-28,34817532.86026476,31632301.09646427,27656563.121935762
2014-03-31,34915133.07918974,31714132.602492653,27727130.66920566
2014-04-30,34245707.42072572,31213158.817716844,27410765.546649422
2014-05-31,34571306.87948827,31472726.720429804,27598388.87184713
2014-06-30,35107289.83616129,31894060.31965471,27891649.712937947
2014-07-31,35852264.962448016,32479942.30811236,28293160.23624545
2014-08-31,36078794.74664967,32665665.442866374,28431142.377130546
2014-09-30,36704500.027684964,33154998.09321583,28768312.719069432
2014-10-31,37748930.5901763,33968058.347467825,29319731.551520895
2014-11-30,39837247.117670596,35579247.193636924,30395712.122282382
2014-12-31,40025290.39554198,35737533.78106331,30509988.824752424
2015-01-31,41636981.14153962,36968658.649831474,31313175.055435777
2015-02-28,41622613.833891235,36958359.43560544,31318836.492892377
2015-03-31,42024850.994916454,37274401.55763894,31532755.03520447
2015-04-30,41803834.000570774,37117036.46530776,31441165.25956418
2015-05-31,42638060.254819036,37740746.57366174,31852576.57530792
2015-06-30,41785800.97224053,37109172.729120776,31460484.36898163
2015-07-31,42271668.62656386,37484287.729695424,31713961.398739103
2015-08-31,41546009.13286764,36960829.8831991,31389698.541817598
2015-09-30,41399449.93497917,36863413.25894394,31338032.812612176
2015-10-31,42039111.07893545,37347151.75310733,31656857.011584938
2015-11-30,41357039.91668592,36838953.4770115,31341140.792162158
2015-12-31,41816854.93704219,37193601.52277967,31578728.134816892
2016-01-31,42137248.27265257,37458628.17452654,31759909.701318786
2016-02-29,44061674.46329121,38917181.49965538,32698002.006310493
2016-03-31,42939721.90526569,38075372.360263,32172979.25618048
2016-04-30,43469036.54723205,38479220.41450158,32441085.36213498
2016-05-31,44428853.09553191,39202776.63596609,32913594.323172234
2016-06-30,45056357.91322455,39690799.59497588,33234468.187770694
2016-07-31,45222355.05553514,39824733.74359058,33329483.754207604
2016-08-31,45199255.79339745,39811481.28013553,33330112.506409965
2016-09-30,44416633.063304454,39230386.140060805,32968605.047766984
2016-10-31,44844820.17046801,39551051.95365977,33182211.215122536
2016-11-30,44109474.56559258,38991291.75960024,32833424.435453907
2016-12-31,44558928.585102834,39327710.431373715,33057593.44069765
2017-01-31,44329043.42721504,39164533.144643575,32965417.13775218
2017-02-28,44728088.21677605,39463782.737359434,33163910.13232106
2017-03-31,44583892.967855886,39359707.00960099,33109363.844482794
2017-04-30,45673047.02833184,40175242.45354061,33634082.175789215
2017-05-31,45711761.80236809,40209020.203425966,33665202.49260177
2017-06-30,46666739.11734545,40926075.26835929,34126220.68975773
2017-07-31,46688480.98291172,40942698.93302123,34147069.885703936
2017-08-31,47248762.2722802,41368924.32023582,34425115.142501995
2017-09-30,47689919.03525129,41700784.564410105,34643144.971325204
2017-10-31,47400752.01542342,41485079.487634346,34517178.245246865
2017-11-30,46595929.96950369,40894282.0423071,34154136.06705992
2017-12-31,46712812.21872203,40989067.32031079,34224534.060250916
2018-01-31,47966931.10412444,41909871.93132906,34813023.674365595
2018-02-28,46686559.71501036,40975588.11719401,34238623.67836121
2018-03-31,45836353.447663814,40365906.39783309,33868129.322873235
2018-04-30,46069623.02577244,40543696.02103791,33991947.45411742
2018-05-31,46464853.71749759,40843345.036448725,34191764.82588362
2018-06-30,46777452.50158405,41085785.40920866,34356196.33201736
2018-07-31,47229899.8996837,41423623.66681321,34580960.26129245
2018-08-31,47667525.30452138,41756717.66718452,34801799.295232795
2018-09-30,47193832.18637421,41420447.86494661,34601152.78453075
2018-10-31,46275255.57015917,40759361.6189568,34199955.26974937
2018-11-30,46660570.5655209,41050925.542242855,34395717.72133647
2018-12-31,46431518.06959197,40910088.34124848,34320302.19177562
2019-01-31,48187131.846169904,42215407.59462102,35153540.5000427
2019-02-28,49406278.40085366,43122203.18752361,35735140.57291864
2019-03-31,50766361.53714392,44138591.31723961,36389637.938377395
2019-04-30,52373774.10186906,45333058.34254597,37154420.42336872
2019-05-31,52325551.10254583,45322225.70890473,37163349.2661933
2019-06-30,53716383.61880563,46363392.98802957,37830036.57664803
2019-07-31,54959820.47653532,47298866.71892526,38431013.16961788
2019-08-31,57239509.53840674,49021390.172746554,39527276.43514657
2019-09-30,56662727.06230506,48588529.92697388,39265548.396017596
2019-10-31,56085994.03074714,48161427.32714658,39008201.77387003
2019-11-30,56330525.072899505,48341469.30337112,39132170.48576529
2019-12-31,56861943.49150682,48738093.50156144,39391434.91162739
