,성장형,중립형,안정형
2015-06-30,53672572.59077857,49548288.90332457,44562791.15813935
2015-07-31,58239825.28289148,53764586.81787949,48354849.52353333
2015-08-31,58977384.23536506,54445470.59699376,48967223.47878404
2015-09-30,60243157.50123841,55613979.88276578,50018158.56495432
2015-10-31,57762367.54835538,53323817.67587666,47958430.11816601
2015-11-30,56798818.889344804,52582261.832181305,47473196.55025262
2015-12-31,57430142.06232214,53085826.64394083,47829175.358731076
2016-01-31,57789117.11034635,53401094.97480082,48060846.79588689
2016-02-29,60370935.382523604,55432776.19327104,49445486.93435545
2016-03-31,58862319.32882051,54257807.33947639,48669704.5063308
2016-04-30,59562325.80270097,54812592.454897165,49060598.97921756
2016-05-31,62398440.06855212,57422543.85143195,51396663.97971913
2016-06-30,64770058.83555088,59605040.441046216,53350130.96898227
2016-07-31,63767659.68162426,58682576.525125355,52524469.74361637
2016-08-31,63296661.575578466,58249137.65439969,52136515.63186414
2016-09-30,61336391.23732419,56445186.95730851,50521870.20524806
2016-10-31,61180822.34024951,56302023.73392703,50393730.42611482
2016-11-30,60389232.797912985,55676809.21073182,49985999.31779609
2016-12-31,61019052.836064346,56165436.61155714,50329757.03098024
2017-01-31,60654354.56331157,55894177.47142189,50163991.22619728
2017-02-28,61233211.983442426,56346550.95584056,50482677.945859075
2017-03-31,61047843.81669806,56207778.021079764,50406385.2930879
2017-04-30,62543055.30946021,57374560.001674935,51205777.24841018
2017-05-31,62748057.367524035,57562620.89544887,51373618.26079344
2017-06-30,64610286.29957704,59270957.09793,52898278.02371083
2017-07-31,62956503.6241216,57753841.36264713,51544279.13642202
2017-08-31,65131526.08278905,59749122.14869677,53325031.8511358
2017-09-30,64764147.39035975,59412103.26262177,53024248.472433455
2017-10-31,63215556.461833775,57991486.333897404,51756373.05856611
2017-11-30,62159344.29385965,57185382.78606627,51231425.23653552
2017-12-31,62303545.233703494,57308813.759156376,51330412.08070968
2018-01-31,63962292.06582054,58582150.58523372,52200758.41259963
2018-02-28,62256799.67253154,57281271.40262412,51346151.0632427
2018-03-31,61124305.20133219,56432565.94275181,50795187.37986321
2018-04-30,61448172.1612189,56690493.21798846,50986715.562395744
2018-05-31,63364664.98889328,58458599.897623226,52576928.4400975
2018-06-30,65605473.67601278,60525911.99515263,54436242.9020501
2018-07-31,64718651.8116825,59707753.096081115,53700401.09324104
2018-08-31,65788745.201005146,60694993.56062818,54588312.732393555
2018-09-30,63518578.52073311,58600596.538467646,52704638.430372424
2018-10-31,63380594.315482646,58473295.882047504,52590145.8233873
2018-11-30,63946183.52312962,58921383.87854859,52912584.58428338
2018-12-31,63700544.52235482,58769893.117694676,52829903.11742369
2019-01-31,65972945.45720889,60540421.260454446,54042546.08779776
